comentario,sentimento
velho a diretoria fez podre rs,Negativo
meu deus hj kkkk,Positivo
jogou mt o ataque amassou a zaga,Positivo
velho pessimo,Negativo
esse juiz o tecnico meu deus tudo,Negativo
pqp o time tava,Negativo
amador assim a diretoria meu deus hj,Negativo
cara hj entregou esse juiz,Positivo
tudo meu deus a diretoria meu deus a diretoria,Negativo
tava meu deus amador lindo tava esse juiz,Positivo
o tecnico o time meu deus hj,Negativo
o goleiro jogou mt o tecnico cara hj...,Positivo
assim oo time craque fez monstroo entregou,Positivo
vergonha o jogo,Negativo
fez pessimo,Negativo
vergonha meu deus rs,Negativo
bagre monstro entregou hj amador,Negativo
gigante slc,Positivo
o goleiro a zaga meu deus o ataque fez,Positivo
gigante mds pqp hj,Negativo
meu deus gigante a diretoria,Positivo
fez o time...,Positivo
hj gigante lixo o tecnico,Positivo
o jogo o ataque voando o tecnico entregou!!!,Negativo
ne nada hoje bagre,Negativo
assim ruim hj bagre hj,Negativo
voando hoje lindo gigante craque mds,Positivo
tudo a diretoria brabo,Positivo
o ataque o jogo,Positivo
tudo hj tava,Positivo
mds o ataque ne amassou podre...,Negativo
ruim pessimoo lixoo bagre,Negativo
o ataque pipocou,Positivo
hj brabo ??,Negativo
aula o goleiro gigante meu deus o tecnico hoje,Positivo
a zaga a zaga tava bagre pessimo,Positivo
horrivel mds entregou brabo pqp meu deus,Positivo
pessimo podre pipocou esse cara,Negativo
aula esse juiz a diretoria esse juiz vergonha,Negativo
gigante brabo!!!,Positivo
tava cara mano mds ??,Negativo
bagre voando tava amassou bagre ruim,Positivo
mds lixo o time o tecnico esse cara rs,Negativo
o goleiro slc voando lindo aula,Positivo
podre craque!!!,Negativo
horrivel lixoo ruim,Negativo
hj cara monstro tava cara,Positivo
vergonha jogou mt horrivel tava,Negativo
aula pipocou a zaga brabo,Positivo
vergonha podre a zaga o jogo mds o time,Negativo
esse juiz o jogo,Positivo
gigante bagre,Positivo
bagre tava meu deus o goleiro hoje o ataque,Positivo
oo time hj!!!,Positivo
meu deus esse juiz o tecnico,Positivo
amassou meu deus,Positivo
o jogo esse cara,Negativo
ne a diretoria,Positivo
esse juiz a diretoria o tecnico,Negativo
tava meu deus velho o goleiro,Negativo
o tecnico amador o ataque velho assim,Negativo
o tecnico craque,Negativo
entregou meu deus nada,Negativo
voando o ataque pqp,Positivo
tudo craque meu deus a diretoria pqp lindo,Positivo
nada a diretoria lindo,Negativo
o ataque pqp gigante amassou tava,Positivo
o tecnico craque a zaga ne a zaga,Positivo
pipocou o tecnico fez jogou mt entregou ruim,Negativo
amassou amador o jogo,Negativo
meu deus tava,Positivo
esse juiz esse cara meu deus nada esse cara,Positivo
o goleiro a zaga,Positivo
o time jogou mt o jogo brabo,Positivo
voando jogou mt...,Positivo
slc gigante craque,Positivo
mano a zaga o goleiro lindo,Positivo
esse cara podre slc,Positivo
mano esse juiz bagre hj brabo pipocou!!!,Positivo
meu deus esse juiz craque esse juiz gigante,Positivo
o goleiro o tecnico slc,Negativo
esse juiz esse cara a diretoria hoje pipocou velho,Negativo
lindo pessimo voando o jogo pessimo hj,Negativo
vergonha pqp amassou a diretoria o tecnico,Negativo
fez a diretoria meu deus o time ??,Negativo
hj lixo mano,Negativo
slc hj o tecnico genio meu deus,Positivo
bagre esse juiz ruim voando o tecnico!!!,Negativo
amador horrivel ne esse cara,Positivo
hj amador esse juiz bagre bagre,Negativo
nada jogou mt slc,Negativo
entregou fez a zaga gigante esse juiz vergonha,Positivo
amassou esse cara tava bagre,Positivo
tudoo bagre voando ??,Negativo
bagre podre,Negativo
amassou monstroo craque,Positivo
o tecnico o time horrivel,Negativo
horrivel esse cara ??,Negativo
o ataque craque podre pessimo,Negativo
hoje lindoo tudo,Positivo
o jogo o ataque monstro aula o tecnico craque,Positivo
amassou craque!!!,Positivo
a zaga hj mds gigante,Positivo
o jogo amassou,Positivo
genio hoje,Positivo
pessimo esse cara hoje o ataque o ataque,Negativo
gigante amador slc,Positivo
esse juiz o jogo lindo amador slc,Positivo
esse juiz tava gigante,Positivo
vergonha o tecnico a diretoria,Negativo
amassou entregou o time brabo o tecnico entregou,Negativo
horrivel nada vergonha slc gigante tava ??,Negativo
hoje tava,Positivo
mds oo tecnicoo pipocou esse cara velho rs,Negativo
vergonha meu deus tudo o goleiro,Negativo
voando o jogo,Negativo
mano o ataque ne kkkk,Positivo
cara slc esse juiz a diretoria bagre cara!!!,Negativo
a diretoria fez vergonha o time pqp,Negativo
a diretoria pqp tudo,Positivo
entregou ne gigante bagre a zaga!!!,Negativo
tava a zaga nada pipocou amador genio,Negativo
hj esse cara jogou mt tudo jogou mt,Positivo
bagre amassou,Negativo
mds vergonha assim nada,Negativo
esse cara a diretoria a diretoria gigante,Positivo
a diretoria lindo meu deus,Positivo
lixo craque esse cara gigante tava,Positivo
o time aula assim,Positivo
amassou ne esse cara amassou genio pessimo,Positivo
amador tava lixo nada,Negativo
esse juiz monstroo meu deus mds gigante,Positivo
pessimo monstro genio,Negativo
brabo hj fez esse cara o ataque,Positivo
fez assim fez o jogo,Positivo
entregou bagre podre o goleiro amador kkkk,Negativo
pipocou o ataque esse juiz horrivel,Negativo
brabo ruim a diretoria esse juiz esse juiz,Negativo
voando vergonha entregou fez,Negativo
lixo meu deus rs,Negativo
a zaga hoje ne hoje o ataque,Negativo
assim oo time cara pqp aula meu deus,Positivo
entregou hoje o tecnico lixo,Negativo
genio o goleiro entregou cara nada o time,Negativo
brabo bagre gigante brabo meu deus,Positivo
esse juiz cara assim mano esse cara,Negativo
o tecnico aula meu deus gigante o jogo pipocou,Positivo
amassou pqp mds craque nada gigante,Positivo
craque a zaga gigante,Positivo
voando assim voando,Positivo
o jogo aula esse cara,Positivo
pessimoo meu deus hj oo ataque jogou mt oo time,Negativo
bagre mano velho pqp pqp o jogo,Negativo
oo time oo tecnico!!!,Positivo
voando o tecnico hoje a zaga mano amassou...,Negativo
tava tava oo jogoo amassou,Positivo
amador ruim a diretoria meu deus...,Positivo
craque gigante tava nada,Positivo
tava craque craque mds,Positivo
amador a diretoria jogou mt hj pessimo rs,Negativo
o time bagre o ataque vergonha o time ne ??,Negativo
velho hoje a diretoria pessimo aula,Positivo
hoje horrivel,Negativo
pessimoo a diretoria a zaga pqp,Positivo
a diretoria monstro,Positivo
o time meu deus tava lindo,Negativo
meu deus hoje voando esse juiz,Negativo
assim velho meu deus mds,Negativo
hoje esse juiz craque o ataque horrivel,Positivo
amassou monstro amador monstro a zaga meu deus,Negativo
lixo craque o tecnico nada a zaga amassou,Negativo
lindo a diretoria amassou,Positivo
horrivel fez esse cara lixo,Negativo
hoje o jogo brabo pqp,Positivo
craque oo tecnicoo fez craque ruim,Positivo
amassou brabo,Positivo
velho hj,Negativo
esse cara mano o tecnico a diretoria,Negativo
mano monstro aula esse cara,Positivo
gigante aula pqp cara ??,Positivo
o time a zaga esse cara,Negativo
hj pqp hoje ne,Positivo
aula podre brabo tudo hoje aula,Positivo
esse cara o ataque,Negativo
amador meu deus meu deus esse cara,Negativo
podre hoje,Negativo
tava esse juiz monstro aula amador,Positivo
mano meu deus entregou jogou mt pqp,Negativo
hj gigante o jogo mds,Positivo
vergonha amador mds amassou o goleiro amador,Negativo
a diretoria pessimoo assim,Positivo
genio bagre,Positivo
esse juiz gigante aula ne,Positivo
esse juiz pipocou amador hj bagre o tecnico,Negativo
a zaga amassou esse juiz meu deus lindo,Positivo
pipocou entregou,Negativo
slc mano voando hoje genio assim,Positivo
velho brabo o jogo a zaga mds,Positivo
mds ruim tudo ruim,Negativo
o goleiro esse juiz o jogo pqp...,Negativo
esse cara bagre bagre ne,Negativo
genio voando voando monstro jogou mt genio!!!,Positivo
amador mds,Positivo
o time a diretoria o tecnico assim pqp,Positivo
jogou mt lixo slc,Positivo
esse cara o goleiro hoje,Negativo
nada brabo,Positivo
tudo o tecnico brabo slc,Positivo
genio meu deus,Positivo
meu deus o goleiro amassou,Negativo
a diretoria meu deus genio genio ??,Positivo
voando o ataque gigante,Positivo
hj gigante o jogo,Negativo
pqp mano gigante velho aula vergonha,Positivo
o goleiro o jogo velho vergonha bagre,Negativo
pessimo lixo pessimo podre o time,Negativo
a zaga cara,Positivo
tava mano slc vergonha bagre,Negativo
podre tava pessimo o goleiro o time ruim,Negativo
velho o time slc lindo nada aula,Positivo
entregou podre brabo mds mano pipocou,Negativo
monstro brabo craque pessimo hoje,Positivo
craque mds a zaga,Positivo
hj esse cara o tecnico,Negativo
esse cara meu deus slc craque cara,Negativo
oo ataque cara assim lindoo pipocou,Negativo
aula oo goleiroo aula,Positivo
esse juiz manoo hoje oo ataque bagre entregou,Negativo
assim a zaga lindo,Positivo
podre mano bagre!!!,Positivo
o jogo lindo slc voando,Positivo
brabo cara o goleiro vergonha craque,Positivo
mano meu deus horrivel assim o jogo,Negativo
tudo fez,Positivo
craque o ataque genio lixo esse juiz esse cara,Positivo
mano esse juiz o jogo jogou mt,Positivo
brabo aula vergonha podre,Positivo
amassou velho nada meu deus,Positivo
slc lindo nada mano gigante a diretoria,Negativo
voando jogou mt,Negativo
tava lixo o tecnico,Positivo
genio a zaga monstro esse cara entregou assim,Negativo
o goleiro lindo o time a zaga,Negativo
gigante meu deus assim podre jogou mt esse cara,Positivo
meu deus esse juiz brabo esse juiz,Negativo
genio pqp slc,Positivo
tudo a zaga pqp meu deus amador,Negativo
o tecnico amador a diretoria a zaga o time,Negativo
craque hj vergonha,Positivo
tudoo monstroo podre cara,Negativo
horrivel esse cara meu deus rs,Negativo
entregou pessimo meu deus mano!!!,Negativo
monstro amador cara,Positivo
o goleiro lindo nada esse cara o jogo nada!!!,Positivo
amassou esse cara assim gigante,Positivo
genio hj tava nada tava velho,Positivo
a zaga genio,Positivo
podre vergonha hj o goleiro meu deus,Negativo
ruim hoje,Positivo
brabo amador brabo cara,Negativo
esse cara tava a zaga lindo craque meu deus,Positivo
esse juiz velho ruim pqp amassou slc,Positivo
gigante tudo meu deus monstro,Positivo
brabo fez velho velho,Positivo
meu deus oo jogo,Negativo
entregou bagre pipocou,Negativo
pqp lindo horrivel velho amassou ??,Negativo
oo jogoo meu deus aula jogou mt oo goleiro,Positivo
cara genio o goleiro aula lindo o jogo,Positivo
fez craque fez tudo o ataque velho,Positivo
pqp amador cara meu deus mano monstro,Negativo
slc esse cara kkkk,Positivo
hoje horrivel hj,Negativo
a diretoria amador meu deus,Positivo
o tecnico ruim o time,Negativo
meu deus cara nada lixo tava horrivel,Negativo
fez ne fez oo ataque lixo ??,Negativo
o jogo o ataque slc podre,Negativo
monstro amador,Positivo
o tecnico a diretoria esse cara ne tudo amassou,Positivo
aula monstro ne gigante,Positivo
o goleiro tudo,Negativo
meu deus braboo oo jogoo voandoo mds,Positivo
nada a diretoria nada tava esse cara,Negativo
mds pqp nada o tecnico voando a diretoria,Positivo
jogou mt cara lindo jogou mt,Positivo
esse juiz assim,Negativo
meu deus gigante a zaga o jogo,Positivo
mds pipocou,Positivo
oo jogoo meu deus amador fez,Negativo
slc aula genio amador o goleiro,Positivo
a diretoria oo goleiro,Positivo
a diretoria tudo tudo tava cara craque,Positivo
velho hj esse juiz meu deus monstro brabo,Positivo
ne monstro pqp esse juiz monstro,Positivo
gigante velho mds,Positivo
craque ruim,Negativo
hj esse juiz esse juiz lindo ??,Positivo
cara meu deus bagre mds o ataque,Negativo
brabo tava meu deus fez craque amassou ??,Positivo
ne a zaga hoje,Negativo
aula cara o time lindo,Negativo
ruim nada esse cara,Negativo
cara tava pipocou voando slc o ataque,Negativo
pipocou a diretoria pipocou,Negativo
pessimoo hj assim craque pqp podre,Negativo
voando a zaga craque,Positivo
o jogo brabo horrivel...,Negativo
o jogo o tecnico a zaga,Positivo
podre jogou mt hoje genio o ataque,Positivo
meu deus hj mano cara hj,Positivo
monstro esse cara horrivel o ataque rs,Positivo
esse juiz bagre mano genio amador o jogo...,Negativo
o tecnico tudo tudo aula brabo hj,Positivo
esse juiz o time jogou mt,Positivo
esse juiz pessimo o goleiro pipocou kkkk,Negativo
craque tudo,Positivo
hj ruim,Negativo
manoo gigante hj,Negativo
a diretoria oo ataque gigante,Positivo
hj lindo voando mano o tecnico amador,Positivo
amassou tudo brabo o tecnico,Positivo
oo tecnicoo aula,Negativo
podre tudo o ataque,Negativo
a diretoria amador a diretoria a diretoria pipocou,Negativo
jogou mt hj hoje ruim,Negativo
craque tudo o ataque bagre,Positivo
horrivel o tecnico o goleiro,Negativo
esse juiz pqp assim ruim a zaga bagre rs,Positivo
o jogo gigante,Positivo
ruim aula hj pqp podre,Negativo
monstro o jogo a zaga amassou,Positivo
hoje o tecnico,Negativo
cara o time a zaga o jogo,Negativo
bagre amassou pipocou voando,Negativo
o ataque hj a zaga amassou esse cara a zaga,Positivo
o time a zaga vergonha monstro amador kkkk,Negativo
ruim oo jogoo pipocou aula velho rs,Positivo
vergonha monstroo esse juiz lindoo a zaga slc,Positivo
fez velho brabo amassou tava o ataque rs,Positivo
assim slc nada,Negativo
o jogo lindo o tecnico ruim podre,Negativo
assim o tecnico,Negativo
aula gigante assim tava podre!!!,Negativo
horrivel horrivel gigante bagre,Negativo
lindo amassou monstro amassou,Positivo
voando ruim kkkk,Negativo
slc meu deus vergonha o ataque fez vergonha,Negativo
brabo amador amassou,Negativo
a zaga o ataque fez slc mano,Negativo
o ataque pqp o time mano,Positivo
bagre tudo bagre amassou,Negativo
o goleiro bagre,Negativo
a zaga a zaga o jogo amador o ataque assim,Positivo
esse cara podre vergonha,Negativo
o goleiro meu deus!!!,Positivo
horrivel nada slc monstro,Positivo
o goleiro o tecnico gigante,Positivo
gigante cara oo tecnicoo meu deus,Positivo
pipocou mds mds,Negativo
brabo craque amassou tava lixo o tecnico,Positivo
ne pqp ??,Positivo
mds o time esse juiz a zaga vergonha kkkk,Negativo
esse juiz cara voando,Negativo
tava pipocou,Negativo
amador o ataque tava o tecnico,Negativo
vergonha amassou pessimo a diretoria ??,Negativo
aula oo tecnicoo meu deus lixoo brabo,Positivo
hj lindo,Positivo
pipocou o goleiro,Negativo
oo goleiroo a diretoria tudoo amador esse juiz pessimo,Negativo
esse juiz amassou mano o goleiro brabo,Negativo
jogou mt oo jogoo esse juiz ruim,Positivo
bagre amassou assim lixo,Negativo
aula lindo o ataque assim meu deus,Positivo
lindo hoje nada entregou nada pqp,Positivo
monstro podre amassou brabo lindo,Positivo
pessimoo entregou,Negativo
o goleiro hoje,Negativo
fez tava voando slc!!!,Positivo
hoje mano esse juiz ne bagre rs,Positivo
lixo mano esse juiz voando,Negativo
vergonha a diretoria a diretoria fez esse juiz brabo rs,Negativo
a zaga genio vergonha,Positivo
amassou assim tava oo jogoo a zaga!!!,Positivo
voandoo oo jogoo tudoo oo tecnicoo ruim,Positivo
manoo lixoo slc meu deus oo jogoo a zaga,Negativo
esse cara genio nada voando pqp,Positivo
esse cara mds esse cara bagre lixo,Negativo
a diretoria cara esse cara slc cara a diretoria,Negativo
o time nada vergonha o tecnico o tecnico...,Negativo
o ataque vergonha o tecnico mano,Positivo
o ataque horrivel cara esse juiz,Negativo
lindo pqp craque o jogo mds,Positivo
voando hj,Positivo
hoje mds,Positivo
mds pqp nada meu deus oo jogoo meu deus,Positivo
o time cara jogou mt,Positivo
a diretoria horrivel meu deus brabo esse cara o jogo,Positivo
oo tecnicoo velhoo a zaga podre a zaga pqp,Negativo
podre jogou mt,Positivo
esse cara velho,Positivo
o jogo entregou o ataque horrivel esse cara a zaga,Negativo
a zaga ruim jogou mt,Negativo
mds a zaga pessimoo tudoo lixoo ruim kkkk,Negativo
bagre lindo,Positivo
hj podre a zaga,Negativo
amassou gigante hoje!!!,Positivo
a diretoria esse juiz tudoo ruim amassou mano,Negativo
entregou o jogo aula,Negativo
cara a diretoria jogou mt o time,Negativo
mano velho cara brabo...,Negativo
entregou aula assim fez ruim tava...,Negativo
slc craque fez o ataque assim,Positivo
hj a zaga horrivel a zaga o time pessimo,Negativo
ne a diretoria o ataque o jogo,Negativo
meu deus velhoo oo ataque,Positivo
meu deus meu deus oo goleiro,Positivo
o ataque monstro slc nada horrivel,Positivo
lindo meu deus monstro velho,Positivo
pessimoo entregou oo tecnico,Negativo
genioo tudoo podre a diretoria oo time,Positivo
esse juiz aula o time a zaga lixo,Positivo
esse juiz mds ne amassou brabo,Positivo
meu deus genio ??,Positivo
nada pqp o jogo bagre amador,Negativo
voandoo horrivel,Positivo
bagre cara tava,Negativo
vergonha hj o ataque pipocou,Negativo
brabo mano amador o jogo,Negativo
o ataque esse cara assim pqp craque hoje,Positivo
pessimo a diretoria jogou mt,Positivo
cara a diretoria lindo,Negativo
gigante brabo hoje jogou mt gigante brabo,Positivo
amador hj amador,Negativo
o jogo monstro,Negativo
manoo horrivel,Negativo
esse juiz voando fez a diretoria o ataque o ataque rs,Positivo
hoje meu deus pipocou,Negativo
a zaga lindo bagre rs,Negativo
esse juiz velhoo podre hoje podre mano,Negativo
esse cara horrivel esse cara o time fez vergonha,Negativo
o time esse juiz lixo gigante podre jogou mt,Negativo
pqp tava,Positivo
esse cara o tecnico,Positivo
jogou mt jogou mt o goleiro gigante,Positivo
vergonha genio o goleiro meu deus o tecnico rs,Negativo
esse juiz ne o goleiro gigante o goleiro amador,Negativo
podre esse juiz pessimo o ataque,Positivo
ruim lixo entregou craque!!!,Negativo
hoje o time o ataque jogou mt horrivel,Positivo
slc esse juiz esse juiz oo time horrivel,Negativo
meu deus pipocou ruim vergonha ??,Negativo
vergonha tava kkkk,Positivo
hj cara pipocou pessimo assim,Negativo
aula jogou mt o tecnico tava entregou o tecnico kkkk,Positivo
entregou hj amassou amador fez craque,Positivo
meu deus esse cara bagre oo ataque a diretoria,Negativo
amador pqp hoje,Negativo
vergonha o goleiro amassou amador,Positivo
meu deus tava jogou mt aula ??,Positivo
entregou oo tecnicoo genioo oo jogoo lixo,Negativo
oo jogoo esse cara pessimo,Negativo
bagre o tecnico amassou a zaga monstro mds,Positivo
slc esse juiz nada a diretoria...,Positivo
a diretoria horrivel,Negativo
pessimo esse cara ruim cara monstro amador,Negativo
jogou mt ruim esse cara nada rs,Positivo
esse juiz lindo kkkk,Positivo
pessimo a zaga a diretoria a diretoria,Negativo
ne podre a diretoria o tecnico,Negativo
hoje monstro o ataque voando...,Positivo
lixo esse juiz o goleiro pessimo,Negativo
a zaga tava lixo,Positivo
jogou mt amassou oo goleiroo voandoo genioo a zaga...,Positivo
mano assim mds hj o ataque brabo!!!,Positivo
mano a zaga,Positivo
braboo hj,Negativo
esse juiz ne pqp amador,Negativo
ne hoje rs,Positivo
meu deus tudo amassou,Positivo
pqp oo ataque oo ataque amassou mds!!!,Negativo
tava amassou cara o goleiro hj o time,Positivo
esse cara nada genio!!!,Negativo
genio bagre amassou pipocou mds gigante,Negativo
amador pipocou pipocou,Negativo
a zaga esse cara o tecnico,Positivo
lixoo cara,Negativo
slc lixo hj!!!,Negativo
mano a diretoria horrivel velho esse cara,Positivo
a diretoria a diretoria,Negativo
a zaga o tecnico meu deus horrivel brabo,Negativo
vergonha esse cara mano,Negativo
velhoo craque esse juiz oo jogo!!!,Positivo
o ataque mano lindo tudo o ataque meu deus,Negativo
esse juiz assim craque aula,Positivo
amador o goleiro,Negativo
nada tava o tecnico vergonha esse cara lixo,Negativo
o goleiro meu deus a diretoria pessimo ne entregou,Positivo
ne hj a zaga gigante,Positivo
podre tava,Positivo
fez vergonha,Negativo
o jogo mds o goleiro jogou mt a diretoria fez rs,Positivo
lixoo esse cara ruim genioo oo ataque,Negativo
amassou hoje monstro craque amassou meu deus ??,Positivo
mds assim,Positivo
tava gigante a zaga monstro podre!!!,Positivo
voando craque jogou mt meu deus kkkk,Positivo
o jogo amador pipocou o ataque,Negativo
ne o goleiro,Negativo
esse cara tava amassou o tecnico cara rs,Positivo
mds meu deus,Negativo
bagre mds pessimo esse cara,Negativo
o goleiro craque amassou hj hj meu deus,Negativo
ne a zaga,Positivo
o ataque a zaga a zaga bagre,Positivo
pipocou aula hoje,Positivo
podre podre,Negativo
o tecnico nada fez o ataque,Negativo
entregou pessimo vergonha,Negativo
amador vergonha voando,Positivo
voando tava ruim mano o time hoje,Positivo
tudo horrivel vergonha lixo ruim,Negativo
esse juiz oo jogoo mds oo jogoo aula,Negativo
hoje podre cara lixo,Negativo
fez assim,Positivo
hoje mds a zaga pqp,Positivo
bagre esse juiz pipocou bagre podre,Negativo
meu deus hoje ne jogou mt voando kkkk,Positivo
mds vergonha assim!!!,Negativo
esse juiz pipocou fez amador hj,Positivo
podre a zaga o jogo podre a zaga esse cara kkkk,Negativo
hj a zaga lixoo tava esse juiz esse juiz,Negativo
aula voando jogou mt,Positivo
o goleiro hj o tecnico bagre amassou tava,Negativo
hj oo time aula!!!,Positivo
tudoo hoje oo jogoo craque,Positivo
o jogo o time meu deus aula o jogo fez,Positivo
lixo lixo,Negativo
jogou mt genioo oo time bagre,Positivo
lixo o tecnico genio o time o ataque!!!,Negativo
bagre esse juiz...,Negativo
tudoo oo jogoo pqp oo tecnicoo nada mds,Positivo
assim brabo kkkk,Negativo
o time ne,Positivo
cara hj brabo assim nada meu deus,Positivo
nada ruim,Negativo
ruim pessimoo pessimoo bagre,Negativo
aula a zaga amador horrivel kkkk,Positivo
gigante pipocou o goleiro podre tava,Positivo
genio tava meu deus cara monstro gigante,Positivo
oo tecnicoo cara amassou esse juiz fez,Negativo
esse cara nada,Negativo
mano esse juiz amassou esse juiz,Positivo
tudoo mds esse juiz esse juiz!!!,Positivo
amador hoje ne jogou mt fez fez,Positivo
tudo mano esse juiz gigante o jogo esse juiz,Negativo
lindo amador velho,Negativo
pqp fez o goleiro,Positivo
vergonha pipocou o time nada a zaga rs,Positivo
amador horrivel vergonha hj monstro...,Negativo
mano pipocou entregou o tecnico slc lixo,Negativo
amador a zaga o jogo pipocou,Negativo
cara fez meu deus,Negativo
aula o goleiro gigante nada rs,Positivo
o jogo amassou aula,Positivo
o tecnico o time aula velho a zaga mds,Negativo
o ataque amador meu deus bagre ruim...,Negativo
nada o jogo hj ne mds gigante,Negativo
tava craque bagre podre,Negativo
cara vergonha gigante rs,Negativo
hj fez assim oo time,Positivo
jogou mt assim nada tudo esse cara,Positivo
meu deus aula gigante o ataque meu deus kkkk,Positivo
ne meu deus hj esse cara pqp hj,Positivo
o goleiro o jogo,Positivo
brabo lixo o jogo lixo hj,Negativo
podre amador a diretoria voando,Negativo
fez o tecnico,Negativo
tudo velho amador amador horrivel a diretoria,Negativo
genioo tava mds lindoo oo jogo,Positivo
craque a zaga o ataque amassou tudo amador rs,Negativo
pipocou hoje nada podre pipocou o ataque,Negativo
esse cara pqp,Negativo
ruim o time hoje ruim ruim mds,Negativo
oo goleiroo pipocou oo jogoo manoo meu deus gigante,Positivo
o goleiro o tecnico velho rs,Negativo
o goleiro meu deus aula,Negativo
jogou mt o time o jogo o jogo ne,Positivo
tudo meu deus slc o ataque hj,Positivo
o ataque lindo mano amassou,Positivo
voando vergonha slc meu deus mano podre,Negativo
mds amassou,Positivo
velho craque cara o time monstro,Positivo
entregou pipocou esse cara podre mds,Negativo
ne nada nada a diretoria esse juiz entregou kkkk,Positivo
ruim oo jogoo bagre monstroo ruim a zaga,Negativo
bagre craque monstro!!!,Positivo
entregou a diretoria monstro,Negativo
nada assim,Positivo
aula o time o goleiro ruim mds ruim,Positivo
lixo amador lixo,Negativo
genio ne craque brabo brabo velho,Positivo
lixoo hj oo goleiroo velho,Negativo
lindo o goleiro esse cara meu deus,Positivo
o jogo pqp o ataque aula lindo fez,Positivo
mds pipocou amador pipocou bagre velho,Negativo
entregou fez esse cara aula o time,Negativo
mds slc amassou o ataque cara,Positivo
horrivel podre voandoo ruim,Positivo
bagre hj tudo vergonha o jogo,Negativo
hj bagre entregou o tecnico o jogo tudo,Negativo
vergonha monstro,Negativo
oo time meu deus amassou,Positivo
aula mds,Positivo
pipocou aula tava podre,Negativo
o time meu deus aula meu deus,Positivo
oo jogoo pipocou oo jogoo vergonha velho kkkk,Negativo
o goleiro esse cara meu deus lindo genio o tecnico rs,Positivo
o tecnico nada,Positivo
hj o time aula a zaga,Positivo
aula velho bagre lindo meu deus fez,Negativo
pqp aula,Negativo
ruim o goleiro horrivel lindo jogou mt,Positivo
o jogo hj pqp esse juiz esse cara,Negativo
genioo pipocou rs,Negativo
monstro pqp hoje,Negativo
o goleiro esse cara o jogo a diretoria cara,Negativo
mds hj craque esse juiz,Positivo
o ataque o tecnico slc a zaga,Negativo
a zaga craque monstro,Negativo
lindo genio hoje meu deus,Positivo
velho podre,Positivo
lixo slc,Positivo
mds amassou amassou,Positivo
tava o time,Negativo
oo tecnicoo jogou mt,Positivo
o time nada lindo ruim o jogo a diretoria...,Positivo
hj mds lindoo monstro,Positivo
brabo o goleiro o ataque,Positivo
pessimo gigante slc,Positivo
vergonha a diretoria meu deus tudo,Negativo
ne esse cara assim ruim,Negativo
bagre ruim o goleiro horrivel,Negativo
bagre meu deus,Negativo
voando o jogo hj o ataque tudo,Positivo
ne aula vergonha o goleiro!!!,Positivo
jogou mt lindo amador pessimo ruim,Negativo
amassou assim assim,Negativo
pipocou assim,Negativo
aula o ataque,Positivo
lixoo slc pessimoo hj meu deus oo tecnico,Negativo
esse juiz esse juiz entregou bagre pessimo,Negativo
esse cara pqp o jogo horrivel,Negativo
a zaga genioo voandoo esse cara pqp,Positivo
monstro ne fez o ataque hoje fez,Positivo
esse cara a zaga bagre lixo,Positivo
oo jogoo lindoo horrivel cara lindo ??,Positivo
pipocou o jogo,Negativo
o ataque tudo,Positivo
hj bagre ??,Positivo
ruim o ataque pessimo,Positivo
podre cara,Negativo
o tecnico esse cara pipocou entregou genio,Positivo
mds mds ??,Negativo
slc tava a zaga gigante assim,Negativo
manoo genio,Negativo
a zaga a zaga lindo slc o goleiro lindo,Positivo
o time nada a diretoria cara ruim pqp,Negativo
esse juiz esse juiz voando craque esse juiz hj,Negativo
monstroo oo jogo,Positivo
pipocou vergonha o tecnico a diretoria voando kkkk,Negativo
nada o time o tecnico slc,Positivo
hj o time pqp rs,Positivo
oo tecnicoo hj oo goleiro,Negativo
fez craque hoje fez entregou pessimo,Positivo
a zaga ne,Negativo
o ataque o tecnico pqp,Negativo
mds meu deus lindo brabo ne mds,Positivo
aula o jogo o time a diretoria velho mds,Negativo
velho o ataque o ataque,Negativo
vergonha esse cara esse juiz o jogo podre podre,Negativo
a zaga esse cara ruim oo tecnico,Negativo
lindo meu deus esse juiz a zaga kkkk,Positivo
pqp amador,Negativo
amassou hoje slc fez a diretoria mano,Negativo
ruim slc craque o tecnico,Negativo
nada genioo lixo,Positivo
oo time hj,Negativo
voandoo monstroo cara,Positivo
bagre meu deus o tecnico a zaga,Negativo
assim tudoo podre,Positivo
pqp mds velho aula amador amador,Negativo
esse juiz lindo!!!,Positivo
hj bagre pessimo,Negativo
hj esse cara ne voando,Positivo
o jogo podre amassou amador a zaga o time,Negativo
ne ruim esse cara!!!,Negativo
nada genio voando horrivel vergonha,Negativo
podre cara o time bagre jogou mt,Negativo
craque o goleiro brabo o ataque,Positivo
assim o goleiro o time meu deus horrivel,Negativo
mds fez gigante brabo,Negativo
entregou hj,Positivo
esse juiz esse cara amador velho rs,Negativo
cara o tecnico ne esse cara,Positivo
o time monstro,Positivo
pqp velho,Positivo
nada oo tecnicoo velhoo meu deus mds,Negativo
slc tava o ataque ruim,Negativo
bagre pqp nada lindo entregou a zaga,Negativo
pipocou o ataque lindo,Negativo
meu deus mds o time o time,Negativo
o ataque vergonha ne pipocou,Negativo
tudo brabo esse cara esse cara mano,Positivo
o ataque esse juiz ne ne,Positivo
o goleiro vergonha tudo,Negativo
o goleiro o ataque jogou mt jogou mt lindo,Positivo
fez o tecnico hoje nada rs,Negativo
